P,n_elem,case,scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
4,32,sod,DGSEM (no stabilization),True,,6.39522e-03,6.39522e-03,0.00000,0.00000
4,32,sod,Hybrid + Persson-Peraire,True,,7.53032e-03,8.20582e-03,0.01135,1.00000
4,32,sod,Hybrid + NN policy,True,,4.62047e-03,5.06985e-03,0.01462,0.59084
4,32,lax,DGSEM (no stabilization),True,,5.88632e-02,9.86346e-02,0.00000,0.00000
4,32,lax,Hybrid + Persson-Peraire,True,,7.47412e-02,8.26261e-02,0.04236,1.00000
4,32,lax,Hybrid + NN policy,True,,4.47735e-02,4.72973e-02,0.02668,0.81265
4,32,shu-osher,DGSEM (no stabilization),False,0.57600,5.53654e-02,5.53654e-02,0.00000,0.00000
4,32,shu-osher,Hybrid + Persson-Peraire,True,,6.29502e-02,9.86037e-02,0.06285,1.00000
4,32,shu-osher,Hybrid + NN policy,True,,3.84289e-02,6.43837e-02,0.03782,0.81771
4,32,random_seed42,DGSEM (no stabilization),False,0.07680,1.26454e-01,1.48680e-01,0.00000,0.00000
4,32,random_seed42,Hybrid + Persson-Peraire,True,,6.70563e-02,1.46264e-01,0.08990,1.00000
4,32,random_seed42,Hybrid + NN policy,True,,3.99096e-02,8.12071e-02,0.03343,0.94198
4,64,sod,DGSEM (no stabilization),True,,8.62290e-03,8.62290e-03,0.00000,0.00000
4,64,sod,Hybrid + Persson-Peraire,True,,6.75778e-03,7.44508e-03,0.01339,1.00000
4,64,sod,Hybrid + NN policy,True,,4.20941e-03,4.69382e-03,0.01134,0.69533
4,64,lax,DGSEM (no stabilization),True,,5.13824e-02,7.84206e-02,0.00000,0.00000
4,64,lax,Hybrid + Persson-Peraire,True,,5.10977e-02,6.22122e-02,0.02591,1.00000
4,64,lax,Hybrid + NN policy,True,,3.36555e-02,3.81183e-02,0.01752,0.84220
4,64,shu-osher,DGSEM (no stabilization),False,0.28800,4.63945e-02,4.63945e-02,0.00000,0.00000
4,64,shu-osher,Hybrid + Persson-Peraire,True,,3.84179e-02,9.00095e-02,0.03531,1.00000
4,64,shu-osher,Hybrid + NN policy,True,,2.52307e-02,5.68718e-02,0.02151,0.83439
4,64,random_seed42,DGSEM (no stabilization),False,0.05760,5.22024e-02,5.22024e-02,0.00000,0.00000
4,64,random_seed42,Hybrid + Persson-Peraire,True,,5.76923e-02,9.95237e-02,0.04022,1.00000
4,64,random_seed42,Hybrid + NN policy,True,,3.19161e-02,5.69481e-02,0.01659,0.96980
4,96,sod,DGSEM (no stabilization),True,,5.69436e-03,7.09243e-03,0.00000,0.00000
4,96,sod,Hybrid + Persson-Peraire,True,,5.98366e-03,6.10891e-03,0.01206,1.00000
4,96,sod,Hybrid + NN policy,True,,3.69262e-03,3.89559e-03,0.00872,0.73453
4,96,lax,DGSEM (no stabilization),True,,6.38799e-02,6.79083e-02,0.00000,0.00000
4,96,lax,Hybrid + Persson-Peraire,True,,4.01882e-02,5.22170e-02,0.01828,1.00000
4,96,lax,Hybrid + NN policy,True,,2.77658e-02,3.31804e-02,0.01293,0.84222
4,96,shu-osher,DGSEM (no stabilization),False,0.18000,2.64803e-02,2.64803e-02,0.00000,0.00000
4,96,shu-osher,Hybrid + Persson-Peraire,True,,3.26652e-02,8.23978e-02,0.02399,1.00000
4,96,shu-osher,Hybrid + NN policy,True,,2.28788e-02,5.00016e-02,0.01489,0.84042
4,96,random_seed42,DGSEM (no stabilization),False,0.05800,4.48536e-02,5.34202e-02,0.00000,0.00000
4,96,random_seed42,Hybrid + Persson-Peraire,True,,4.29917e-02,7.30265e-02,0.02734,1.00000
4,96,random_seed42,Hybrid + NN policy,True,,2.10086e-02,4.09544e-02,0.01094,0.98456
6,32,sod,DGSEM (no stabilization),True,,5.84708e-03,7.35992e-03,0.00000,0.00000
6,32,sod,Hybrid + Persson-Peraire,True,,3.34020e-03,4.21817e-03,0.00530,1.00000
6,32,sod,Hybrid + NN policy,True,,1.32181e-03,2.24790e-03,0.01207,0.59276
6,32,lax,DGSEM (no stabilization),False,0.10000,7.14979e-02,7.90510e-02,0.00000,0.00000
6,32,lax,Hybrid + Persson-Peraire,True,,3.32366e-02,4.06180e-02,0.01952,1.00000
6,32,lax,Hybrid + NN policy,True,,2.25517e-02,2.43381e-02,0.02026,0.85217
6,32,shu-osher,DGSEM (no stabilization),False,0.58500,7.98097e-02,7.98097e-02,0.00000,0.00000
6,32,shu-osher,Hybrid + Persson-Peraire,True,,3.56214e-02,5.84686e-02,0.03503,1.00000
6,32,shu-osher,Hybrid + NN policy,True,,1.76525e-02,3.24660e-02,0.02526,0.83655
6,32,random_seed42,DGSEM (no stabilization),False,0.05760,6.20396e-02,6.20396e-02,0.00000,0.00000
6,32,random_seed42,Hybrid + Persson-Peraire,True,,5.03004e-02,9.55292e-02,0.06216,1.00000
6,32,random_seed42,Hybrid + NN policy,True,,3.13601e-02,4.72708e-02,0.02488,0.96167
