P,n_elem,case,scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
4,32,sod,DGSEM (no stabilization),True,,6.47177e-03,6.47177e-03,0.00000,0.00000
4,32,sod,Hybrid + Persson-Peraire,True,,9.29146e-03,9.94974e-03,0.01135,1.00000
4,32,sod,Hybrid + NN policy,True,,5.46970e-03,6.38662e-03,0.00193,0.69623
4,32,lax,DGSEM (no stabilization),True,,5.94923e-02,1.01011e-01,0.00000,0.00000
4,32,lax,Hybrid + Persson-Peraire,True,,8.53831e-02,9.36346e-02,0.04236,1.00000
4,32,lax,Hybrid + NN policy,True,,4.95935e-02,5.33629e-02,0.00989,0.96649
4,32,shu-osher,DGSEM (no stabilization),False,0.57600,5.92576e-02,5.92576e-02,0.00000,0.00000
4,32,shu-osher,Hybrid + Persson-Peraire,True,,8.30870e-02,1.13796e-01,0.06285,1.00000
4,32,shu-osher,Hybrid + NN policy,True,,5.26170e-02,6.49620e-02,0.01386,0.99561
4,32,random_seed42,DGSEM (no stabilization),True,,6.45952e-02,7.31835e-02,0.00000,0.00000
4,32,random_seed42,Hybrid + Persson-Peraire,True,,6.17164e-02,6.42763e-02,0.05780,1.00000
4,32,random_seed42,Hybrid + NN policy,True,,3.42206e-02,3.98676e-02,0.01475,0.99797
4,64,sod,DGSEM (no stabilization),True,,8.99343e-03,8.99343e-03,0.00000,0.00000
4,64,sod,Hybrid + Persson-Peraire,True,,8.11288e-03,8.75765e-03,0.01339,1.00000
4,64,sod,Hybrid + NN policy,True,,4.92193e-03,5.56440e-03,0.00279,0.81047
4,64,lax,DGSEM (no stabilization),True,,5.27520e-02,8.01752e-02,0.00000,0.00000
4,64,lax,Hybrid + Persson-Peraire,True,,5.90135e-02,7.03176e-02,0.02591,1.00000
4,64,lax,Hybrid + NN policy,True,,3.30854e-02,4.33735e-02,0.00788,0.99839
4,64,shu-osher,DGSEM (no stabilization),False,0.28800,3.77190e-02,3.77190e-02,0.00000,0.00000
4,64,shu-osher,Hybrid + Persson-Peraire,True,,6.33864e-02,1.00658e-01,0.03531,1.00000
4,64,shu-osher,Hybrid + NN policy,True,,4.33255e-02,6.22460e-02,0.00969,1.00000
4,64,random_seed42,DGSEM (no stabilization),True,,4.76933e-02,5.40916e-02,0.00000,0.00000
4,64,random_seed42,Hybrid + Persson-Peraire,True,,4.71085e-02,4.80556e-02,0.02557,1.00000
4,64,random_seed42,Hybrid + NN policy,True,,2.76434e-02,2.93512e-02,0.00814,1.00000
4,96,sod,DGSEM (no stabilization),True,,5.98296e-03,7.41238e-03,0.00000,0.00000
4,96,sod,Hybrid + Persson-Peraire,True,,7.01192e-03,7.16459e-03,0.01206,1.00000
4,96,sod,Hybrid + NN policy,True,,4.40521e-03,4.56525e-03,0.00249,0.85628
4,96,shu-osher,DGSEM (no stabilization),False,0.18000,3.00994e-02,3.00994e-02,0.00000,0.00000
4,96,shu-osher,Hybrid + Persson-Peraire,True,,4.89742e-02,9.17366e-02,0.02399,1.00000
4,96,shu-osher,Hybrid + NN policy,True,,3.16569e-02,5.68262e-02,0.00699,0.99888
4,96,random_seed42,DGSEM (no stabilization),True,,5.22748e-02,5.27285e-02,0.00000,0.00000
4,96,random_seed42,Hybrid + Persson-Peraire,True,,3.51340e-02,3.99020e-02,0.01649,1.00000
4,96,random_seed42,Hybrid + NN policy,True,,1.83677e-02,2.51487e-02,0.00602,1.00000
6,32,sod,DGSEM (no stabilization),True,,6.00090e-03,7.09193e-03,0.00000,0.00000
6,32,sod,Hybrid + Persson-Peraire,True,,5.62172e-03,6.24769e-03,0.00530,1.00000
6,32,sod,Hybrid + NN policy,True,,3.65742e-03,4.63823e-03,0.00141,0.74126
6,32,lax,DGSEM (no stabilization),False,0.10000,6.42412e-02,7.62265e-02,0.00000,0.00000
6,32,lax,Hybrid + Persson-Peraire,True,,4.89537e-02,5.69956e-02,0.01952,1.00000
6,32,lax,Hybrid + NN policy,True,,4.22856e-02,4.31420e-02,0.00799,0.97867
6,32,shu-osher,DGSEM (no stabilization),False,0.58500,6.31426e-02,6.31426e-02,0.00000,0.00000
6,32,shu-osher,Hybrid + Persson-Peraire,True,,6.11874e-02,7.82167e-02,0.03503,1.00000
6,32,shu-osher,Hybrid + NN policy,True,,4.39558e-02,5.60093e-02,0.01169,0.99311
6,32,random_seed42,DGSEM (no stabilization),True,,6.80923e-02,7.48790e-02,0.00000,0.00000
6,32,random_seed42,Hybrid + Persson-Peraire,True,,4.13275e-02,4.47633e-02,0.03410,1.00000
6,32,random_seed42,Hybrid + NN policy,True,,2.71530e-02,3.18829e-02,0.01160,1.00000
6,64,sod,DGSEM (no stabilization),True,,5.86297e-03,9.41146e-03,0.00000,0.00000
6,64,sod,Hybrid + Persson-Peraire,True,,5.35478e-03,5.66858e-03,0.00750,1.00000
6,64,sod,Hybrid + NN policy,True,,3.58599e-03,4.48706e-03,0.00263,0.86456
6,64,lax,DGSEM (no stabilization),False,0.05040,4.90097e-02,5.67735e-02,0.00000,0.00000
6,64,lax,Hybrid + Persson-Peraire,True,,3.61625e-02,4.21260e-02,0.01291,1.00000
6,64,lax,Hybrid + NN policy,True,,2.67028e-02,3.50795e-02,0.00642,1.00000
6,64,shu-osher,DGSEM (no stabilization),False,0.28800,3.49571e-02,3.62992e-02,0.00000,0.00000
6,64,shu-osher,Hybrid + Persson-Peraire,True,,4.81821e-02,6.87615e-02,0.02138,1.00000
6,64,shu-osher,Hybrid + NN policy,True,,3.30165e-02,5.17642e-02,0.00821,1.00000
6,64,random_seed42,DGSEM (no stabilization),True,,5.04460e-02,5.46150e-02,0.00000,0.00000
6,64,random_seed42,Hybrid + Persson-Peraire,True,,2.95697e-02,3.21633e-02,0.01526,1.00000
6,64,random_seed42,Hybrid + NN policy,True,,2.19735e-02,2.47024e-02,0.00668,1.00000
6,96,sod,DGSEM (no stabilization),True,,5.31924e-03,8.03075e-03,0.00000,0.00000
6,96,sod,Hybrid + Persson-Peraire,True,,4.62672e-03,4.62672e-03,0.00614,1.00000
6,96,sod,Hybrid + NN policy,True,,3.63543e-03,3.76215e-03,0.00235,0.88994
6,96,shu-osher,DGSEM (no stabilization),False,0.18900,3.93077e-02,3.93077e-02,0.00000,0.00000
6,96,shu-osher,Hybrid + Persson-Peraire,True,,3.49483e-02,5.57323e-02,0.01459,1.00000
6,96,shu-osher,Hybrid + NN policy,True,,2.27030e-02,4.74191e-02,0.00594,1.00000
6,96,random_seed42,DGSEM (no stabilization),True,,5.48785e-02,5.48785e-02,0.00000,0.00000
6,96,random_seed42,Hybrid + Persson-Peraire,True,,2.23240e-02,2.63618e-02,0.01084,1.00000
6,96,random_seed42,Hybrid + NN policy,True,,1.37934e-02,2.03334e-02,0.00499,1.00000
8,32,sod,DGSEM (no stabilization),True,,5.01234e-03,7.46285e-03,0.00000,0.00000
8,32,sod,Hybrid + Persson-Peraire,True,,4.20734e-03,4.99349e-03,0.00392,0.99752
8,32,sod,Hybrid + NN policy,True,,2.88633e-03,3.58051e-03,0.00119,0.74255
8,32,lax,DGSEM (no stabilization),False,0.08720,5.85965e-02,5.85965e-02,0.00000,0.00000
8,32,lax,Hybrid + Persson-Peraire,True,,3.96226e-02,4.25570e-02,0.01427,1.00000
8,32,lax,Hybrid + NN policy,True,,3.50816e-02,3.66442e-02,0.00655,0.99713
8,32,shu-osher,DGSEM (no stabilization),False,0.54900,3.24713e-02,3.62177e-02,0.00000,0.00000
8,32,shu-osher,Hybrid + Persson-Peraire,True,,5.09586e-02,5.97332e-02,0.02833,1.00000
8,32,shu-osher,Hybrid + NN policy,True,,3.81801e-02,4.78414e-02,0.00998,0.99746
